Benchmark,Compilation,Seconds
wasteOfCycles,c.o3,0.006
wasteOfCycles,opt.s,0.007
wasteOfCycles,reg.s,0.006
wasteOfCycles,stack.s,0.006
wasteOfCycles,c.o0,0.007
wasteOfCycles,c.o3,0.005
wasteOfCycles,opt.s,0.005
wasteOfCycles,reg.s,0.007
wasteOfCycles,stack.s,0.006
wasteOfCycles,c.o0,0.005
wasteOfCycles,c.o3,0.006
wasteOfCycles,opt.s,0.007
wasteOfCycles,reg.s,0.006
wasteOfCycles,stack.s,0.009
wasteOfCycles,c.o0,0.01
wasteOfCycles,c.o3,0.01
wasteOfCycles,opt.s,0.012
wasteOfCycles,reg.s,0.009
wasteOfCycles,stack.s,0.01
