../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m11.163s user 1m11.109s sys 0m0.020s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m9.956s user 0m9.950s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m45.567s user 0m45.552s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m48.666s user 0m48.642s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m24.546s user 1m24.518s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m14.788s user 1m14.722s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m10.337s user 0m10.240s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m45.847s user 0m45.835s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m45.986s user 0m45.973s sys 0m0.001s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m35.096s user 1m35.022s sys 0m0.030s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m10.760s user 1m10.729s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m9.898s user 0m9.892s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m50.143s user 0m50.128s sys 0m0.001s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m46.031s user 0m46.005s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m34.798s user 1m34.708s sys 0m0.030s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m11.136s user 1m11.112s sys 0m0.011s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m10.431s user 0m10.412s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m55.803s user 0m55.743s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m50.763s user 0m50.738s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m22.950s user 1m22.902s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m10.142s user 1m10.119s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m9.719s user 0m9.713s sys 0m0.001s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m50.086s user 0m50.069s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m46.200s user 0m46.184s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m34.808s user 1m34.727s sys 0m0.020s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m11.210s user 1m11.199s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m10.017s user 0m10.012s sys 0m0.001s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m52.590s user 0m52.547s sys 0m0.020s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m45.611s user 0m45.584s sys 0m0.011s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m23.381s user 1m23.357s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m11.019s user 1m10.997s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m10.411s user 0m10.382s sys 0m0.020s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m45.617s user 0m45.594s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m49.717s user 0m49.697s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m27.632s user 1m27.619s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m9.337s user 1m9.316s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m9.917s user 0m9.900s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m45.767s user 0m45.744s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.reg.s.out ,  real 0m49.921s user 0m49.915s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.stack.s.out ,  real 1m28.033s user 1m28.020s sys 0m0.001s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o0.out ,  real 1m11.956s user 1m11.947s sys 0m0.000s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.c.o3.out ,  real 0m9.943s user 0m9.929s sys 0m0.010s
../benchmarks/BenchMarkishTopics/BenchMarkishTopics.opt.s.out ,  real 0m57.479s user 0m57.436s sys 0m0.010s
